Vĩ độ,Kinh độ,Tỉnh,Huyện,Xã,Tiểu vùng,Thửa đất,Lô đất,Chủ rừng,Loại đất,Nguồn gốc tài nguyên rừng,Ngày,Độ ưu tiên,Trạng thái
11.5169,108.272668,Lâm Đồng,Di Linh,Tam Bố,678,3.0,26.0,Trần Ngọc Thế,Rừng tự nhiên lá kim trung bình,Rừng tự nhiên,2018-01-01,Cao,Đã xác minh
11.4464,108.062816,Lâm Đồng,Di Linh,Gung Ré,695,5.0,1.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên lá kim trung bình,Rừng tự nhiên,2018-01-01,Cao,Đã xác minh
11.4462,108.062886,Lâm Đồng,Di Linh,Gung Ré,695,5.0,3.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng gỗ tự nhiên trên núi với lá rộng trung bình và lá kim trung bình,Rừng tự nhiên,2018-01-01,Cao,Đã xác minh
11.801,107.937944,Lâm Đồng,Di Linh,Đinh Trang Thượng,607,3.0,8.0,Ban Quản lý rừng Tân Thượng,Đất trống có cây gỗ tái sinh,Rừng tự nhiên,2018-01-13,Thấp,Chưa xác minh
11.4814,108.010331,Lâm Đồng,Di Linh,Liên Đầm,660B,7.0,43.0,Công ty cổ phần Tập đoàn Tân Mai,Rừng trồng khác,Rừng trồng,2018-01-13,Thấp,Chưa xác minh
11.4464,108.062847,Lâm Đồng,Di Linh,Gung Ré,695,5.0,1.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên lá kim trung bình,Rừng tự nhiên,2018-01-13,Cao,Chưa xác minh
11.3271,108.091448,Lâm Đồng,Di Linh,Gia Bắc,736,6.0,7.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-01-13,Cao,Chưa xác minh
11.4203,108.057927,Lâm Đồng,Di Linh,Gung Ré,709A,2.0,8.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng nghèo,Rừng tự nhiên,2018-01-25,Thấp,Chưa xác minh
11.2926,108.055201,Lâm Đồng,Di Linh,Gia Bắc,735,4.0,8.0,Cộng đồng thôn Đà Hòng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-01-25,Trung bình,Chưa xác minh
11.5014,108.160709,Lâm Đồng,Di Linh,Bảo Thuận,674,6.0,4.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng tự nhiên lá kim nghèo,Rừng tự nhiên,2018-02-18,Trung bình,Chưa xác minh
11.3595,108.023765,Lâm Đồng,Di Linh,Sơn Điền,716,2.0,27.0,Ủy ban nhân dân xã,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-02-18,Thấp,Chưa xác minh
11.3317,108.203603,Lâm Đồng,Di Linh,Bảo Thuận,743,5.0,3.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-02-18,Thấp,Chưa xác minh
11.3933,108.121686,Lâm Đồng,Di Linh,Gia Bắc,719,4.0,2.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng trung bình,Rừng tự nhiên,2018-03-02,Thấp,Chưa xác minh
11.4685,108.021263,Lâm Đồng,Di Linh,Liên Đầm,686A,3.0,20.0,Công ty cổ phần Tập đoàn Tân Mai,Rừng tự nhiên lá kim nghèo,Rừng tự nhiên,2018-03-26,Cao,Chưa xác minh
11.4687,108.02159,Lâm Đồng,Di Linh,Liên Đầm,686A,3.0,25.0,Công ty cổ phần Tập đoàn Tân Mai,Rừng trồng khác,Rừng trồng,2018-03-26,Cao,Chưa xác minh
11.4918,108.251384,Lâm Đồng,Di Linh,Tam Bố,679,6.0,1.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-03-26,Thấp,Chưa xác minh
11.4797,108.148828,Lâm Đồng,Di Linh,Bảo Thuận,682,13.0,2.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng tự nhiên thường xanh lá rộng trung bình,Rừng tự nhiên,2018-03-26,Thấp,Chưa xác minh
11.4603,108.233068,Lâm Đồng,Di Linh,Tam Bố,701,5.0,4.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-03-26,Thấp,Chưa xác minh
11.3755,108.159945,Lâm Đồng,Di Linh,Bảo Thuận,722,11.0,1.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-03-26,Thấp,Chưa xác minh
11.7369,107.920193,Lâm Đồng,Di Linh,Đinh Trang Thượng,612,4.0,32.0,Ban Quản lý rừng Tân Thượng,Rừng trồng gỗ không có trữ lượng,Rừng trồng,2018-03-26,Thấp,Chưa xác minh
11.7368,107.920194,Lâm Đồng,Di Linh,Đinh Trang Thượng,612,4.0,33.0,Doanh nghiệp tư nhân Tân Minh,Rừng trồng gỗ không có trữ lượng,Rừng trồng,2018-03-26,Thấp,Chưa xác minh
11.655,108.211384,Lâm Đồng,Di Linh,Gia Hiệp,636A,1.0,6.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng trồng gỗ không có trữ lượng,Rừng trồng,2018-03-26,Trung bình,Chưa xác minh
11.5675,108.216224,Lâm Đồng,Di Linh,Tam Bố,666,9.0,3.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng trồng khác,Rừng trồng,2018-03-26,Trung bình,Chưa xác minh
11.495,108.199381,Lâm Đồng,Di Linh,Tam Bố,675,8.0,7.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tự nhiên hỗn hợp lá rộng và lá kim nghèo,Rừng tự nhiên,2018-04-07,Thấp,Chưa xác minh
11.8036,107.948896,Lâm Đồng,Di Linh,Đinh Trang Thượng,607,4.0,16.0,Ban Quản lý rừng Tân Thượng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-04-19,Thấp,Chưa xác minh
11.8008,107.95627,Lâm Đồng,Di Linh,Đinh Trang Thượng,607,5.0,15.0,Công ty cổ phần Tập đoàn Tân Mai,Rừng trồng khác,Rừng trồng,2018-04-19,Thấp,Chưa xác minh
11.7974,107.918029,Lâm Đồng,Di Linh,Đinh Trang Thượng,606,4.0,16.0,Ủy ban nhân dân xã,Rừng tre tự nhiên,Rừng tự nhiên,2018-04-19,Thấp,Chưa xác minh
11.7878,107.927551,Lâm Đồng,Di Linh,Đinh Trang Thượng,606,8.0,4.0,Ban Quản lý rừng Tân Thượng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-04-19,Thấp,Chưa xác minh
11.7871,107.921521,Lâm Đồng,Di Linh,Đinh Trang Thượng,606,4.0,14.0,Ban Quản lý rừng Tân Thượng,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-04-19,Thấp,Chưa xác minh
11.7862,107.922842,Lâm Đồng,Di Linh,Đinh Trang Thượng,606,7.0,4.0,Ban Quản lý rừng Tân Thượng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-04-19,Cao,Chưa xác minh
11.7712,107.933004,Lâm Đồng,Di Linh,Đinh Trang Thượng,606,5.0,4.0,Ban Quản lý rừng Tân Thượng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-04-19,Trung bình,Chưa xác minh
11.7671,107.914705,Lâm Đồng,Di Linh,Đinh Trang Thượng,612,1.0,1.0,Ban Quản lý rừng Tân Thượng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-04-19,Trung bình,Chưa xác minh
11.7611,107.988767,Lâm Đồng,Di Linh,Đinh Trang Thượng,609,2.0,7.0,Ban Quản lý rừng Tân Thượng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-04-19,Trung bình,Chưa xác minh
11.5307,108.032699,Lâm Đồng,Di Linh,Liên Đầm,660A,2.0,4.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng khác,Rừng trồng,2018-04-19,Thấp,Chưa xác minh
11.5267,108.095266,Lâm Đồng,Di Linh,Bảo Thuận,663,4.0,9.0,Công ty cổ phần Tập đoàn Tân Mai,Rừng trồng khác,Rừng trồng,2018-04-19,Trung bình,Chưa xác minh
11.4587,107.999242,Lâm Đồng,Di Linh,Sơn Điền,687A,2.0,9.0,Ban Quản lý Rừng phòng hộ Hòa Bắc - Hòa Nam,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-04-19,Thấp,Chưa xác minh
11.4084,108.054222,Lâm Đồng,Di Linh,Sơn Điền,709B,2.0,21.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng trồng khác,Rừng trồng,2018-04-19,Thấp,Chưa xác minh
11.4613,108.111822,Lâm Đồng,Di Linh,Bảo Thuận,697,7.0,4.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng tự nhiên lá rộng rụng lá nghèo,Rừng tự nhiên,2018-05-01,Thấp,Chưa xác minh
11.4506,108.005659,Lâm Đồng,Di Linh,Sơn Điền,687A,2.0,25.0,Ban Quản lý Rừng phòng hộ Hòa Bắc - Hòa Nam,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-05-01,Thấp,Chưa xác minh
11.4372,108.10782,Lâm Đồng,Di Linh,Gung Ré,696,6.0,3.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tự nhiên thường xanh lá rộng trung bình,Rừng tự nhiên,2018-05-01,Thấp,Chưa xác minh
11.4316,107.986628,Lâm Đồng,Di Linh,Hòa Bắc,692,5.0,6.0,Ban Quản lý Rừng phòng hộ Hòa Bắc - Hòa Nam,Rừng trồng khác,Rừng trồng,2018-05-01,Thấp,Chưa xác minh
11.3677,107.998225,Lâm Đồng,Di Linh,Sơn Điền,715,3.0,6.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-05-01,Cao,Chưa xác minh
11.3373,108.055022,Lâm Đồng,Di Linh,Gia Bắc,733,5.0,5.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-05-01,Thấp,Chưa xác minh
